# freq window freq_fbest window_power
-0.987900  0.089863  -0.947380 0.048698 
-0.987800  0.089599  -0.947280 0.048555 
-0.987700  0.089177  -0.947180 0.048326 
-0.987600  0.088602  -0.947080 0.048014 
-0.987500  0.087879  -0.946980 0.047623 
-0.987400  0.087013  -0.946880 0.047154 
-0.987300  0.086012  -0.946780 0.046611 
-0.987200  0.084880  -0.946680 0.045997 
-0.987100  0.083625  -0.946580 0.045317 
-0.987000  0.082254  -0.946480 0.044575 
-0.986900  0.080775  -0.946380 0.043773 
-0.986800  0.079193  -0.946280 0.042916 
-0.986700  0.077518  -0.946180 0.042008 
-0.986600  0.075757  -0.946080 0.041054 
-0.986500  0.073918  -0.945980 0.040057 
-0.986400  0.072009  -0.945880 0.039022 
-0.986300  0.070037  -0.945780 0.037954 
-0.986200  0.068010  -0.945680 0.036855 
-0.986100  0.065937  -0.945580 0.035732 
-0.986000  0.063824  -0.945480 0.034587 
-0.985900  0.061680  -0.945380 0.033425 
-0.985800  0.059512  -0.945280 0.032250 
-0.985700  0.057327  -0.945180 0.031066 
-0.985600  0.055132  -0.945080 0.029877 
-0.985500  0.052934  -0.944980 0.028686 
-0.985400  0.050740  -0.944880 0.027496 
-0.985300  0.048555  -0.944780 0.026313 
-0.985200  0.046386  -0.944680 0.025137 
-0.985100  0.044239  -0.944580 0.023974 
-0.985000  0.042119  -0.944480 0.022825 
-0.984900  0.040030  -0.944380 0.021693 
-0.984800  0.037978  -0.944280 0.020581 
-0.984700  0.035967  -0.944180 0.019491 
-0.984600  0.034002  -0.944080 0.018426 
-0.984500  0.032084  -0.943980 0.017387 
-0.984400  0.030219  -0.943880 0.016376 
-0.984300  0.028408  -0.943780 0.015395 
-0.984200  0.026655  -0.943680 0.014444 
-0.984100  0.024961  -0.943580 0.013527 
-0.984000  0.023329  -0.943480 0.012642 
-0.983900  0.021759  -0.943380 0.011792 
-0.983800  0.020254  -0.943280 0.010976 
-0.983700  0.018814  -0.943180 0.010195 
-0.983600  0.017439  -0.943080 0.009451 
-0.983500  0.016131  -0.942980 0.008741 
-0.983400  0.014888  -0.942880 0.008068 
-0.983300  0.013710  -0.942780 0.007430 
-0.983200  0.012598  -0.942680 0.006827 
-0.983100  0.011550  -0.942580 0.006259 
-0.983000  0.010565  -0.942480 0.005725 
-0.982900  0.009642  -0.942380 0.005225 
-0.982800  0.008780  -0.942280 0.004758 
-0.982700  0.007977  -0.942180 0.004323 
-0.982600  0.007231  -0.942080 0.003918 
-0.982500  0.006540  -0.941980 0.003544 
-0.982400  0.005903  -0.941880 0.003199 
-0.982300  0.005317  -0.941780 0.002882 
-0.982200  0.004781  -0.941680 0.002591 
-0.982100  0.004292  -0.941580 0.002326 
-0.982000  0.003848  -0.941480 0.002085 
-0.981900  0.003446  -0.941380 0.001867 
-0.981800  0.003084  -0.941280 0.001671 
-0.981700  0.002761  -0.941180 0.001496 
-0.981600  0.002474  -0.941080 0.001341 
-0.981500  0.002220  -0.940980 0.001203 
-0.981400  0.001998  -0.940880 0.001083 
-0.981300  0.001805  -0.940780 0.000978 
-0.981200  0.001640  -0.940680 0.000889 
-0.981100  0.001500  -0.940580 0.000813 
-0.981000  0.001383  -0.940480 0.000750 
-0.980900  0.001289  -0.940380 0.000699 
-0.980800  0.001215  -0.940280 0.000658 
-0.980700  0.001160  -0.940180 0.000629 
-0.980600  0.001122  -0.940080 0.000608 
-0.980500  0.001100  -0.939980 0.000596 
-0.980400  0.001094  -0.939880 0.000593 
-0.980300  0.001101  -0.939780 0.000597 
-0.980200  0.001121  -0.939680 0.000608 
-0.980100  0.001154  -0.939580 0.000625 
-0.980000  0.001198  -0.939480 0.000649 
-0.979900  0.001254  -0.939380 0.000680 
-0.979800  0.001321  -0.939280 0.000716 
-0.979700  0.001398  -0.939180 0.000758 
-0.979600  0.001486  -0.939080 0.000805 
-0.979500  0.001585  -0.938980 0.000859 
-0.979400  0.001694  -0.938880 0.000918 
-0.979300  0.001814  -0.938780 0.000983 
-0.979200  0.001944  -0.938680 0.001054 
-0.979100  0.002087  -0.938580 0.001131 
-0.979000  0.002241  -0.938480 0.001214 
-0.978900  0.002407  -0.938380 0.001304 
-0.978800  0.002586  -0.938280 0.001401 
-0.978700  0.002778  -0.938180 0.001506 
-0.978600  0.002985  -0.938080 0.001617 
-0.978500  0.003205  -0.937980 0.001737 
-0.978400  0.003442  -0.937880 0.001865 
-0.978300  0.003693  -0.937780 0.002002 
-0.978200  0.003962  -0.937680 0.002147 
-0.978100  0.004247  -0.937580 0.002302 
-0.978000  0.004550  -0.937480 0.002466 
-0.977900  0.004872  -0.937380 0.002640 
-0.977800  0.005212  -0.937280 0.002824 
-0.977700  0.005571  -0.937180 0.003019 
-0.977600  0.005949  -0.937080 0.003224 
-0.977500  0.006348  -0.936980 0.003440 
-0.977400  0.006766  -0.936880 0.003667 
-0.977300  0.007205  -0.936780 0.003905 
-0.977200  0.007664  -0.936680 0.004153 
-0.977100  0.008144  -0.936580 0.004413 
-0.977000  0.008643  -0.936480 0.004684 
-0.976900  0.009162  -0.936380 0.004965 
-0.976800  0.009701  -0.936280 0.005257 
-0.976700  0.010259  -0.936180 0.005560 
-0.976600  0.010836  -0.936080 0.005872 
-0.976500  0.011430  -0.935980 0.006194 
-0.976400  0.012042  -0.935880 0.006526 
-0.976300  0.012669  -0.935780 0.006866 
-0.976200  0.013312  -0.935680 0.007214 
-0.976100  0.013969  -0.935580 0.007570 
-0.976000  0.014639  -0.935480 0.007933 
-0.975900  0.015320  -0.935380 0.008302 
-0.975800  0.016012  -0.935280 0.008677 
-0.975700  0.016712  -0.935180 0.009057 
-0.975600  0.017420  -0.935080 0.009440 
-0.975500  0.018132  -0.934980 0.009826 
-0.975400  0.018849  -0.934880 0.010214 
-0.975300  0.019567  -0.934780 0.010604 
-0.975200  0.020286  -0.934680 0.010993 
-0.975100  0.021002  -0.934580 0.011381 
-0.975000  0.021715  -0.934480 0.011768 
-0.974900  0.022423  -0.934380 0.012151 
-0.974800  0.023122  -0.934280 0.012530 
-0.974700  0.023812  -0.934180 0.012904 
-0.974600  0.024490  -0.934080 0.013271 
-0.974500  0.025154  -0.933980 0.013631 
-0.974400  0.025803  -0.933880 0.013983 
-0.974300  0.026433  -0.933780 0.014325 
-0.974200  0.027045  -0.933680 0.014656 
-0.974100  0.027635  -0.933580 0.014975 
-0.974000  0.028201  -0.933480 0.015282 
-0.973900  0.028742  -0.933380 0.015576 
-0.973800  0.029257  -0.933280 0.015855 
-0.973700  0.029743  -0.933180 0.016118 
-0.973600  0.030200  -0.933080 0.016365 
-0.973500  0.030624  -0.932980 0.016596 
-0.973400  0.031017  -0.932880 0.016808 
-0.973300  0.031375  -0.932780 0.017002 
-0.973200  0.031698  -0.932680 0.017178 
-0.973100  0.031985  -0.932580 0.017333 
-0.973000  0.032235  -0.932480 0.017469 
-0.972900  0.032448  -0.932380 0.017584 
-0.972800  0.032622  -0.932280 0.017678 
-0.972700  0.032757  -0.932180 0.017751 
-0.972600  0.032853  -0.932080 0.017804 
-0.972500  0.032910  -0.931980 0.017834 
-0.972400  0.032928  -0.931880 0.017844 
-0.972300  0.032906  -0.931780 0.017832 
-0.972200  0.032845  -0.931680 0.017799 
-0.972100  0.032745  -0.931580 0.017745 
-0.972000  0.032606  -0.931480 0.017670 
-0.971900  0.032430  -0.931380 0.017574 
-0.971800  0.032217  -0.931280 0.017459 
-0.971700  0.031968  -0.931180 0.017324 
-0.971600  0.031684  -0.931080 0.017170 
-0.971500  0.031365  -0.930980 0.016997 
-0.971400  0.031014  -0.930880 0.016807 
-0.971300  0.030631  -0.930780 0.016599 
-0.971200  0.030218  -0.930680 0.016376 
-0.971100  0.029777  -0.930580 0.016136 
-0.971000  0.029308  -0.930480 0.015883 
-0.970900  0.028815  -0.930380 0.015615 
-0.970800  0.028297  -0.930280 0.015335 
-0.970700  0.027758  -0.930180 0.015042 
-0.970600  0.027199  -0.930080 0.014739 
-0.970500  0.026621  -0.929980 0.014426 
-0.970400  0.026028  -0.929880 0.014105 
-0.970300  0.025420  -0.929780 0.013776 
-0.970200  0.024801  -0.929680 0.013440 
-0.970100  0.024170  -0.929580 0.013098 
-0.970000  0.023532  -0.929480 0.012752 
-0.969900  0.022887  -0.929380 0.012403 
-0.969800  0.022238  -0.929280 0.012051 
-0.969700  0.021587  -0.929180 0.011698 
-0.969600  0.020935  -0.929080 0.011345 
-0.969500  0.020284  -0.928980 0.010992 
-0.969400  0.019637  -0.928880 0.010641 
-0.969300  0.018994  -0.928780 0.010293 
-0.969200  0.018357  -0.928680 0.009948 
-0.969100  0.017729  -0.928580 0.009608 
-0.969000  0.017110  -0.928480 0.009272 
-0.968900  0.016503  -0.928380 0.008943 
-0.968800  0.015908  -0.928280 0.008620 
-0.968700  0.015326  -0.928180 0.008305 
-0.968600  0.014759  -0.928080 0.007998 
-0.968500  0.014208  -0.927980 0.007700 
-0.968400  0.013674  -0.927880 0.007410 
-0.968300  0.013158  -0.927780 0.007130 
-0.968200  0.012660  -0.927680 0.006860 
-0.968100  0.012181  -0.927580 0.006601 
-0.968000  0.011721  -0.927480 0.006352 
-0.967900  0.011282  -0.927380 0.006114 
-0.967800  0.010863  -0.927280 0.005887 
-0.967700  0.010465  -0.927180 0.005671 
-0.967600  0.010087  -0.927080 0.005466 
-0.967500  0.009730  -0.926980 0.005273 
-0.967400  0.009393  -0.926880 0.005090 
-0.967300  0.009077  -0.926780 0.004919 
-0.967200  0.008781  -0.926680 0.004759 
-0.967100  0.008505  -0.926580 0.004609 
-0.967000  0.008247  -0.926480 0.004469 
-0.966900  0.008009  -0.926380 0.004340 
-0.966800  0.007788  -0.926280 0.004221 
-0.966700  0.007585  -0.926180 0.004110 
-0.966600  0.007399  -0.926080 0.004009 
-0.966500  0.007228  -0.925980 0.003917 
-0.966400  0.007072  -0.925880 0.003832 
-0.966300  0.006930  -0.925780 0.003756 
-0.966200  0.006802  -0.925680 0.003686 
-0.966100  0.006685  -0.925580 0.003623 
-0.966000  0.006580  -0.925480 0.003566 
-0.965900  0.006484  -0.925380 0.003514 
-0.965800  0.006398  -0.925280 0.003467 
-0.965700  0.006320  -0.925180 0.003425 
-0.965600  0.006249  -0.925080 0.003386 
-0.965500  0.006184  -0.924980 0.003351 
-0.965400  0.006124  -0.924880 0.003319 
-0.965300  0.006068  -0.924780 0.003288 
-0.965200  0.006015  -0.924680 0.003260 
-0.965100  0.005964  -0.924580 0.003232 
-0.965000  0.005915  -0.924480 0.003205 
-0.964900  0.005866  -0.924380 0.003179 
-0.964800  0.005816  -0.924280 0.003152 
-0.964700  0.005766  -0.924180 0.003125 
-0.964600  0.005714  -0.924080 0.003096 
-0.964500  0.005659  -0.923980 0.003067 
-0.964400  0.005601  -0.923880 0.003035 
-0.964300  0.005540  -0.923780 0.003002 
-0.964200  0.005475  -0.923680 0.002967 
-0.964100  0.005406  -0.923580 0.002930 
-0.964000  0.005333  -0.923480 0.002890 
-0.963900  0.005254  -0.923380 0.002847 
-0.963800  0.005171  -0.923280 0.002802 
-0.963700  0.005082  -0.923180 0.002754 
-0.963600  0.004989  -0.923080 0.002704 
-0.963500  0.004891  -0.922980 0.002650 
-0.963400  0.004787  -0.922880 0.002594 
-0.963300  0.004680  -0.922780 0.002536 
-0.963200  0.004567  -0.922680 0.002475 
-0.963100  0.004451  -0.922580 0.002412 
-0.963000  0.004331  -0.922480 0.002347 
-0.962900  0.004208  -0.922380 0.002281 
-0.962800  0.004082  -0.922280 0.002212 
-0.962700  0.003954  -0.922180 0.002143 
-0.962600  0.003824  -0.922080 0.002073 
-0.962500  0.003694  -0.921980 0.002002 
-0.962400  0.003562  -0.921880 0.001930 
-0.962300  0.003431  -0.921780 0.001859 
-0.962200  0.003301  -0.921680 0.001789 
-0.962100  0.003173  -0.921580 0.001719 
-0.962000  0.003047  -0.921480 0.001651 
-0.961900  0.002924  -0.921380 0.001584 
-0.961800  0.002805  -0.921280 0.001520 
-0.961700  0.002690  -0.921180 0.001458 
-0.961600  0.002581  -0.921080 0.001399 
-0.961500  0.002477  -0.920980 0.001343 
-0.961400  0.002381  -0.920880 0.001290 
-0.961300  0.002292  -0.920780 0.001242 
-0.961200  0.002210  -0.920680 0.001198 
-0.961100  0.002138  -0.920580 0.001158 
-0.961000  0.002074  -0.920480 0.001124 
-0.960900  0.002020  -0.920380 0.001095 
-0.960800  0.001977  -0.920280 0.001071 
-0.960700  0.001944  -0.920180 0.001053 
-0.960600  0.001922  -0.920080 0.001041 
-0.960500  0.001911  -0.919980 0.001036 
-0.960400  0.001912  -0.919880 0.001036 
-0.960300  0.001925  -0.919780 0.001043 
-0.960200  0.001949  -0.919680 0.001056 
-0.960100  0.001986  -0.919580 0.001076 
-0.960000  0.002035  -0.919480 0.001103 
-0.959900  0.002096  -0.919380 0.001136 
-0.959800  0.002168  -0.919280 0.001175 
-0.959700  0.002253  -0.919180 0.001221 
-0.959600  0.002349  -0.919080 0.001273 
-0.959500  0.002456  -0.918980 0.001331 
-0.959400  0.002574  -0.918880 0.001395 
-0.959300  0.002703  -0.918780 0.001465 
-0.959200  0.002842  -0.918680 0.001540 
-0.959100  0.002990  -0.918580 0.001620 
-0.959000  0.003147  -0.918480 0.001705 
-0.958900  0.003312  -0.918380 0.001795 
-0.958800  0.003485  -0.918280 0.001888 
-0.958700  0.003664  -0.918180 0.001986 
-0.958600  0.003850  -0.918080 0.002086 
-0.958500  0.004041  -0.917980 0.002190 
-0.958400  0.004237  -0.917880 0.002296 
-0.958300  0.004436  -0.917780 0.002404 
-0.958200  0.004637  -0.917680 0.002513 
-0.958100  0.004841  -0.917580 0.002623 
-0.958000  0.005046  -0.917480 0.002734 
-0.957900  0.005250  -0.917380 0.002845 
-0.957800  0.005454  -0.917280 0.002955 
-0.957700  0.005656  -0.917180 0.003065 
-0.957600  0.005855  -0.917080 0.003173 
-0.957500  0.006050  -0.916980 0.003279 
-0.957400  0.006241  -0.916880 0.003382 
-0.957300  0.006427  -0.916780 0.003483 
-0.957200  0.006607  -0.916680 0.003580 
-0.957100  0.006779  -0.916580 0.003674 
-0.957000  0.006944  -0.916480 0.003763 
-0.956900  0.007101  -0.916380 0.003848 
-0.956800  0.007248  -0.916280 0.003928 
-0.956700  0.007386  -0.916180 0.004002 
-0.956600  0.007513  -0.916080 0.004071 
-0.956500  0.007629  -0.915980 0.004134 
-0.956400  0.007734  -0.915880 0.004191 
-0.956300  0.007828  -0.915780 0.004242 
-0.956200  0.007909  -0.915680 0.004286 
-0.956100  0.007977  -0.915580 0.004323 
-0.956000  0.008034  -0.915480 0.004353 
-0.955900  0.008077  -0.915380 0.004377 
-0.955800  0.008107  -0.915280 0.004393 
-0.955700  0.008125  -0.915180 0.004403 
-0.955600  0.008129  -0.915080 0.004405 
-0.955500  0.008121  -0.914980 0.004401 
-0.955400  0.008100  -0.914880 0.004389 
-0.955300  0.008066  -0.914780 0.004371 
-0.955200  0.008021  -0.914680 0.004347 
-0.955100  0.007963  -0.914580 0.004315 
-0.955000  0.007894  -0.914480 0.004278 
-0.954900  0.007815  -0.914380 0.004235 
-0.954800  0.007724  -0.914280 0.004186 
-0.954700  0.007624  -0.914180 0.004131 
-0.954600  0.007514  -0.914080 0.004072 
-0.954500  0.007396  -0.913980 0.004008 
-0.954400  0.007269  -0.913880 0.003939 
-0.954300  0.007136  -0.913780 0.003867 
-0.954200  0.006996  -0.913680 0.003791 
-0.954100  0.006849  -0.913580 0.003712 
-0.954000  0.006698  -0.913480 0.003630 
-0.953900  0.006543  -0.913380 0.003546 
-0.953800  0.006384  -0.913280 0.003460 
-0.953700  0.006223  -0.913180 0.003372 
-0.953600  0.006060  -0.913080 0.003284 
-0.953500  0.005896  -0.912980 0.003195 
-0.953400  0.005732  -0.912880 0.003106 
-0.953300  0.005569  -0.912780 0.003018 
-0.953200  0.005407  -0.912680 0.002930 
-0.953100  0.005247  -0.912580 0.002844 
-0.953000  0.005091  -0.912480 0.002759 
-0.952900  0.004938  -0.912380 0.002676 
-0.952800  0.004790  -0.912280 0.002595 
-0.952700  0.004646  -0.912180 0.002518 
-0.952600  0.004509  -0.912080 0.002443 
-0.952500  0.004377  -0.911980 0.002372 
-0.952400  0.004253  -0.911880 0.002304 
-0.952300  0.004135  -0.911780 0.002241 
-0.952200  0.004025  -0.911680 0.002181 
-0.952100  0.003924  -0.911580 0.002126 
-0.952000  0.003831  -0.911480 0.002076 
-0.951900  0.003746  -0.911380 0.002030 
-0.951800  0.003670  -0.911280 0.001989 
-0.951700  0.003603  -0.911180 0.001953 
-0.951600  0.003545  -0.911080 0.001921 
-0.951500  0.003497  -0.910980 0.001895 
-0.951400  0.003457  -0.910880 0.001873 
-0.951300  0.003426  -0.910780 0.001857 
-0.951200  0.003404  -0.910680 0.001845 
-0.951100  0.003391  -0.910580 0.001838 
-0.951000  0.003386  -0.910480 0.001835 
-0.950900  0.003389  -0.910380 0.001837 
-0.950800  0.003400  -0.910280 0.001843 
-0.950700  0.003418  -0.910180 0.001852 
-0.950600  0.003443  -0.910080 0.001866 
-0.950500  0.003475  -0.909980 0.001883 
-0.950400  0.003512  -0.909880 0.001903 
-0.950300  0.003554  -0.909780 0.001926 
-0.950200  0.003601  -0.909680 0.001952 
-0.950100  0.003652  -0.909580 0.001979 
-0.950000  0.003707  -0.909480 0.002009 
-0.949900  0.003764  -0.909380 0.002040 
-0.949800  0.003823  -0.909280 0.002072 
-0.949700  0.003884  -0.909180 0.002105 
-0.949600  0.003945  -0.909080 0.002138 
-0.949500  0.004006  -0.908980 0.002171 
-0.949400  0.004066  -0.908880 0.002204 
-0.949300  0.004125  -0.908780 0.002235 
-0.949200  0.004182  -0.908680 0.002266 
-0.949100  0.004236  -0.908580 0.002295 
-0.949000  0.004286  -0.908480 0.002323 
-0.948900  0.004333  -0.908380 0.002348 
-0.948800  0.004374  -0.908280 0.002370 
-0.948700  0.004410  -0.908180 0.002390 
-0.948600  0.004441  -0.908080 0.002407 
-0.948500  0.004465  -0.907980 0.002420 
-0.948400  0.004483  -0.907880 0.002429 
-0.948300  0.004493  -0.907780 0.002435 
-0.948200  0.004496  -0.907680 0.002436 
-0.948100  0.004491  -0.907580 0.002434 
-0.948000  0.004477  -0.907480 0.002426 
-0.947900  0.004456  -0.907380 0.002415 
-0.947800  0.004426  -0.907280 0.002398 
-0.947700  0.004387  -0.907180 0.002377 
